date/time,script,user,action,table,field,"key value","old value","new value"
"2025-01-06 03:35:44",/afyaplus/login,1,login,::1,,,,
"2025-01-06 03:45:32",/afyaplus/logout,1,logout,::1,,,,
"2025-01-06 05:55:24",/afyaplus/login,1,login,::1,,,,
"2025-01-06 08:28:10",/afyaplus/logout,1,logout,::1,,,,
"2025-01-06 09:57:47",/afyaplus/login,1,login,::1,,,,
"2025-01-06 20:36:29",/afyaplus/logout,1,logout,::1,,,,
"2025-01-06 20:36:44",/afyaplus/login,8,login,::1,,,,
"2025-01-06 20:39:02",/afyaplus/logout,8,logout,::1,,,,
"2025-01-06 20:39:12",/afyaplus/login,8,login,::1,,,,
"2025-01-06 20:56:13",/afyaplus/logout,8,logout,::1,,,,
"2025-01-06 20:56:24",/afyaplus/login,8,login,::1,,,,
"2025-01-06 21:19:15",/afyaplus/logout,8,logout,::1,,,,
"2025-01-06 21:19:26",/afyaplus/login,8,login,::1,,,,
"2025-01-06 21:33:08",/afyaplus/logout,8,logout,::1,,,,
"2025-01-06 21:33:35",/afyaplus/login,1,login,::1,,,,
"2025-01-06 21:45:07",/afyaplus/logout,1,logout,::1,,,,
