date/time,script,user,action,table,field,"key value","old value","new value"
"2024-12-06 03:31:42",/afyaplus/login,1,login,::1,,,,
"2024-12-06 03:56:08",/afyaplus/logout,1,logout,::1,,,,
"2024-12-06 03:56:18",/afyaplus/login,9,login,::1,,,,
"2024-12-06 03:56:40",/afyaplus/logout,9,logout,::1,,,,
"2024-12-06 03:56:51",/afyaplus/login,4,login,::1,,,,
"2024-12-06 03:59:07",/afyaplus/logout,4,logout,::1,,,,
"2024-12-06 03:59:24",/afyaplus/login,9,login,::1,,,,
"2024-12-06 04:16:47",/afyaplus/logout,9,logout,::1,,,,
"2024-12-06 04:16:54",/afyaplus/login,9,login,::1,,,,
"2024-12-06 04:28:27",/afyaplus/logout,9,logout,::1,,,,
"2024-12-06 04:28:36",/afyaplus/login,5,login,::1,,,,
"2024-12-06 04:33:18",/afyaplus/logout,5,logout,::1,,,,
"2024-12-06 04:33:25",/afyaplus/login,5,login,::1,,,,
"2024-12-06 04:37:31",/afyaplus/logout,5,logout,::1,,,,
"2024-12-06 05:53:17",/afyaplus/login,5,login,::1,,,,
"2024-12-06 06:42:44",/afyaplus/logout,5,logout,::1,,,,
"2024-12-06 06:48:57",/afyaplus/login,5,login,::1,,,,
"2024-12-06 06:49:08",/afyaplus/logout,5,logout,::1,,,,
"2024-12-06 06:49:24",/afyaplus/login,9,login,::1,,,,
"2024-12-06 19:36:10",/afyaplus/logout,9,logout,::1,,,,
"2024-12-06 19:36:16",/afyaplus/login,9,login,::1,,,,
