date/time,script,user,action,table,field,"key value","old value","new value"
"2024-12-04 05:11:29",/afyaplus/login,2,login,::1,,,,
"2024-12-04 17:42:19",/afyaplus/logout,2,logout,::1,,,,
"2024-12-04 17:42:29",/afyaplus/login,5,login,::1,,,,
"2024-12-04 17:51:33",/afyaplus/logout,5,logout,::1,,,,
"2024-12-04 17:51:49",/afyaplus/login,4,login,::1,,,,
"2024-12-04 18:39:03",/afyaplus/logout,4,logout,::1,,,,
"2024-12-04 18:39:14",/afyaplus/login,6,login,::1,,,,
"2024-12-04 18:39:58",/afyaplus/logout,6,logout,::1,,,,
"2024-12-04 18:41:51",/afyaplus/login,6,login,::1,,,,
"2024-12-04 19:00:50",/afyaplus/logout,6,logout,::1,,,,
"2024-12-04 19:01:04",/afyaplus/login,5,login,::1,,,,
"2024-12-04 19:07:04",/afyaplus/logout,5,logout,::1,,,,
"2024-12-04 19:07:11",/afyaplus/login,5,login,::1,,,,
"2024-12-04 19:09:04",/afyaplus/logout,5,logout,::1,,,,
"2024-12-04 19:09:15",/afyaplus/login,3,login,::1,,,,
"2024-12-04 19:09:27",/afyaplus/logout,3,logout,::1,,,,
"2024-12-04 19:09:38",/afyaplus/login,4,login,::1,,,,
"2024-12-04 19:10:20",/afyaplus/logout,4,logout,::1,,,,
"2024-12-04 19:10:38",/afyaplus/login,4,login,::1,,,,
