date/time,script,user,action,table,field,"key value","old value","new value"
"2025-01-01 11:45:05",/afyaplus/logout,2,logout,::1,,,,
"2025-01-01 11:45:38",/afyaplus/login,1,login,::1,,,,
"2025-01-01 12:36:10",/afyaplus/logout,1,logout,::1,,,,
"2025-01-01 12:36:19",/afyaplus/login,6,login,::1,,,,
"2025-01-01 12:36:28",/afyaplus/logout,6,logout,::1,,,,
"2025-01-01 12:36:42",/afyaplus/login,1,login,::1,,,,
"2025-01-01 12:37:43",/afyaplus/logout,1,logout,::1,,,,
"2025-01-01 12:43:06",/afyaplus/login,1,login,::1,,,,
