date/time,script,user,action,table,field,"key value","old value","new value"
"2024-12-28 06:24:26",/afyaplus/login,2,login,::1,,,,
"2024-12-28 06:30:59",/afyaplus/logout,2,logout,::1,,,,
"2024-12-28 16:57:10",/afyaplus/login,2,login,::1,,,,
"2024-12-28 17:01:37",/afyaplus/logout,2,logout,::1,,,,
"2024-12-28 17:01:46",/afyaplus/login,4,login,::1,,,,
"2024-12-28 17:07:04",/afyaplus/logout,4,logout,::1,,,,
"2024-12-28 17:07:13",/afyaplus/login,6,login,::1,,,,
"2024-12-28 17:11:05",/afyaplus/logout,6,logout,::1,,,,
"2024-12-28 17:11:36",/afyaplus/login,4,login,::1,,,,
"2024-12-28 17:15:41",/afyaplus/logout,4,logout,::1,,,,
"2024-12-28 17:16:08",/afyaplus/login,4,login,::1,,,,
"2024-12-28 19:15:43",/afyaplus/logout,4,logout,::1,,,,
"2024-12-28 19:16:09",/afyaplus/login,4,login,::1,,,,
"2024-12-28 19:19:47",/afyaplus/logout,4,logout,::1,,,,
"2024-12-28 19:20:01",/afyaplus/login,2,login,::1,,,,
