date/time,script,user,action,table,field,"key value","old value","new value"
"2024-11-29 06:09:50",/afyaplus/login,6,login,::1,,,,
"2024-11-29 06:44:35",/afyaplus/logout,6,logout,::1,,,,
"2024-11-29 06:44:49",/afyaplus/login,1,login,::1,,,,
"2024-11-29 07:12:08",/afyaplus/logout,1,logout,::1,,,,
"2024-11-29 07:12:24",/afyaplus/login,9,login,::1,,,,
"2024-11-29 07:12:46",/afyaplus/logout,9,logout,::1,,,,
"2024-11-29 07:13:25",/afyaplus/login,4,login,::1,,,,
"2024-11-29 07:20:35",/afyaplus/logout,4,logout,::1,,,,
"2024-11-29 07:21:30",/afyaplus/login,4,login,::1,,,,
"2024-11-29 07:30:35",/afyaplus/logout,4,logout,::1,,,,
"2024-11-29 07:30:44",/afyaplus/login,4,login,::1,,,,
"2024-11-29 07:41:26",/afyaplus/logout,4,logout,::1,,,,
"2024-11-29 07:41:49",/afyaplus/login,9,login,::1,,,,
"2024-11-29 08:06:22",/afyaplus/logout,9,logout,::1,,,,
"2024-11-29 08:06:28",/afyaplus/login,9,login,::1,,,,
"2024-11-29 08:17:19",/afyaplus/logout,9,logout,::1,,,,
"2024-11-29 08:17:29",/afyaplus/login,9,login,::1,,,,
"2024-11-29 08:17:57",/afyaplus/logout,9,logout,::1,,,,
"2024-11-29 08:18:07",/afyaplus/login,4,login,::1,,,,
"2024-11-29 08:18:53",/afyaplus/logout,4,logout,::1,,,,
"2024-11-29 08:19:02",/afyaplus/login,9,login,::1,,,,
"2024-11-29 08:25:34",/afyaplus/logout,9,logout,::1,,,,
"2024-11-29 08:25:41",/afyaplus/login,9,login,::1,,,,
"2024-11-29 08:44:35",/afyaplus/logout,9,logout,::1,,,,
"2024-11-29 08:44:44",/afyaplus/login,4,login,::1,,,,
"2024-11-29 08:50:43",/afyaplus/logout,4,logout,::1,,,,
"2024-11-29 08:50:56",/afyaplus/login,4,login,::1,,,,
"2024-11-29 08:53:29",/afyaplus/logout,4,logout,::1,,,,
"2024-11-29 08:53:39",/afyaplus/login,9,login,::1,,,,
"2024-11-29 09:03:12",/afyaplus/logout,9,logout,::1,,,,
"2024-11-29 09:03:20",/afyaplus/login,9,login,::1,,,,
"2024-11-29 09:16:34",/afyaplus/logout,9,logout,::1,,,,
"2024-11-29 09:16:47",/afyaplus/login,1,login,::1,,,,
"2024-11-29 09:26:51",/afyaplus/logout,1,logout,::1,,,,
"2024-11-29 09:27:15",/afyaplus/login,7,login,::1,,,,
"2024-11-29 10:02:15",/afyaplus/logout,7,logout,::1,,,,
"2024-11-29 10:02:25",/afyaplus/login,5,login,::1,,,,
"2024-11-29 12:26:03",/afyaplus/logout,5,logout,::1,,,,
"2024-11-29 17:10:00",/afyaplus/login,5,login,::1,,,,
"2024-11-29 17:34:25",/afyaplus/logout,5,logout,::1,,,,
"2024-11-29 17:34:32",/afyaplus/login,5,login,::1,,,,
"2024-11-29 17:34:40",/afyaplus/logout,5,logout,::1,,,,
"2024-11-29 17:34:56",/afyaplus/login,1,login,::1,,,,
"2024-11-29 18:54:05",/afyaplus/logout,1,logout,::1,,,,
"2024-11-29 18:54:14",/afyaplus/login,7,login,::1,,,,
"2024-11-29 19:03:05",/afyaplus/logout,7,logout,::1,,,,
"2024-11-29 19:03:10",/afyaplus/login,7,login,::1,,,,
"2024-11-29 19:12:44",/afyaplus/expensesadd,7,A,expenses,expense_title,4,,"Lunch for MD"
"2024-11-29 19:12:44",/afyaplus/expensesadd,7,A,expenses,description,4,,"<p>Bought Lunch for MD</p>"
"2024-11-29 19:12:44",/afyaplus/expensesadd,7,A,expenses,cost,4,,500
"2024-11-29 19:12:44",/afyaplus/expensesadd,7,A,expenses,id,4,,4
"2024-11-29 19:18:38",/afyaplus/expensesadd,7,A,expenses,expense_title,1,,"Lunch for MD"
"2024-11-29 19:18:38",/afyaplus/expensesadd,7,A,expenses,description,1,,"<p>Lunch for the managing director</p>"
"2024-11-29 19:18:38",/afyaplus/expensesadd,7,A,expenses,cost,1,,500
"2024-11-29 19:18:38",/afyaplus/expensesadd,7,A,expenses,id,1,,1
"2024-11-29 19:42:06",/afyaplus/logout,7,logout,::1,,,,
"2024-11-29 19:42:12",/afyaplus/login,7,login,::1,,,,
